Lines of code metrics,Sat, 27 Aug 2022 20:17:32 NZST
Method,CLOC,JLOC,LOC,NCLOC,RLOC
ConfigManager.getConfigProperty(String),0,0,14,14,82.35%
ConfigManagerTest.checkConfigProperty(),0,0,6,6,42.86%
ConfigManagerTest.getConfigProperty(),0,0,6,6,42.86%
EditorManager.EditorManager(JTextComponent),0,0,3,3,13.04%
EditorManager.addDateAndTime(),3,3,10,7,43.48%
EditorManager.delete(),4,4,7,3,30.43%
EditorManagerTest.addDateAndTime(),0,0,12,12,50.00%
EditorManagerTest.delete(),0,0,10,10,41.67%
FileManager.FileManager(JTextComponent),3,4,10,6,3.16%
FileManager.TextAreaListener.changedUpdate(DocumentEvent),4,5,8,3,25.81%
FileManager.TextAreaListener.insertUpdate(DocumentEvent),5,6,10,4,32.26%
FileManager.TextAreaListener.removeUpdate(DocumentEvent),6,7,11,4,35.48%
FileManager.WindowCloseListener.WindowCloseListener(JFrame),0,0,3,3,3.75%
FileManager.WindowCloseListener.windowActivated(WindowEvent),9,10,13,3,16.25%
FileManager.WindowCloseListener.windowClosed(WindowEvent),5,6,9,3,11.25%
FileManager.WindowCloseListener.windowClosing(WindowEvent),5,6,10,4,12.50%
FileManager.WindowCloseListener.windowDeactivated(WindowEvent),9,10,13,3,16.25%
FileManager.WindowCloseListener.windowDeiconified(WindowEvent),5,6,9,3,11.25%
FileManager.WindowCloseListener.windowIconified(WindowEvent),7,9,12,3,15.00%
FileManager.WindowCloseListener.windowOpened(WindowEvent),4,5,8,3,10.00%
FileManager.changeSavedSate(Boolean),0,0,9,9,2.85%
FileManager.getCurrentFilePath(),0,0,3,3,0.95%
FileManager.getIsSaved(),0,0,3,3,0.95%
FileManager.getTextAreaListener(),0,0,3,3,0.95%
FileManager.newFile(),3,3,9,6,2.85%
FileManager.open(),0,0,3,3,0.95%
FileManager.open(Boolean),6,3,56,51,17.72%
FileManager.openCurrent(),0,0,3,3,0.95%
FileManager.print(),3,3,11,8,3.48%
FileManager.save(),3,3,6,3,1.90%
FileManager.save(Boolean),7,4,43,37,13.61%
FileManager.saveAs(),3,3,6,3,1.90%
FileManager.saveWarning(),3,4,19,15,6.01%
FileManager.setCurrentFilePath(String),0,0,3,3,0.95%
FileManager.setFrame(),3,3,7,4,2.22%
FileManager.setTitle(String),0,0,3,3,0.95%
FileManagerTest.changeSavedState(),0,0,19,19,25.33%
FileManagerTest.newFile(),0,0,7,7,9.33%
FileManagerTest.open(),0,0,18,18,24.00%
FileManagerTest.save(),0,0,14,14,18.67%
FileManagerTest.setTitle(),0,0,15,15,20.00%
MainGuiClass.MainGuiClass(),16,0,114,98,83.82%
SearchBoxManager.SearchBoxManager(JTextComponent),1,0,4,3,5.80%
SearchBoxManager.actionPerformed(ActionEvent),7,7,10,3,14.49%
SearchBoxManager.changedUpdate(DocumentEvent),4,5,8,3,11.59%
SearchBoxManager.insertUpdate(DocumentEvent),4,4,7,3,10.14%
SearchBoxManager.keepSearching(),5,4,12,7,17.39%
SearchBoxManager.removeUpdate(DocumentEvent),0,0,3,3,4.35%
SearchBoxManager.startSearch(Document),7,4,20,13,28.99%
SearchBoxManagerTest.keepSearching(),0,0,17,17,54.84%
SearchBoxManagerTest.startSearch(),0,0,12,12,38.71%
TextEditorRunner.main(String[]),0,0,3,3,60.00%

Class,CLOC,JLOC,LOC
ConfigManager,1,0,17
ConfigManagerTest,0,0,14
EditorManager,7,7,23
EditorManagerTest,0,0,24
FileManager,38,30,205
FileManager.TextAreaListener,18,18,31
FileManager.WindowCloseListener,52,52,80
FileManagerTest,0,0,75
MainGuiClass,18,0,136
SearchBoxManager,30,24,69
SearchBoxManagerTest,0,0,31
TextEditorRunner,0,0,5

Package,CLOC,CLOC(rec),JLOC,JLOC(rec),LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),NCLOC,NCLOCp,NCLOCp(rec),NCLOCt,NCLOCt(rec)
,0,33,135,135,777,777,613,613,164,164,746,582,582,164,164

Module,JLOC,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
251-Assignment1-2022-Anesu-James,135,344,0,119,777,0,0,0,107,"1,459",613,164,"1,231",447,164

FileType,LOC,NCLOC
CSV/TSV Data,73,73
Cascading style sheet,344,290
HTML,119,111
Java,777,611
Markdown,12,12
XML,107,107
YAML,27,27

Project,CLOC,JLOC,L(CSS),L(Groovy),L(HTML),L(J),L(JS),L(JSP),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,232,135,344,0,119,777,0,0,0,107,"1,459",613,164,"1,231",447,164

